,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Nouadhibou,91,MR,1571601090,77,20.93,-17.03,21.0,8.7
373,Gore,0,ET,1571601091,98,8.15,35.53,13.31,1.08
374,Klaksvik,100,FO,1571601091,93,62.23,-6.59,6.0,3.1
375,Natal,20,BR,1571601092,74,-5.81,-35.21,28.0,6.7
376,Vila do Maio,20,CV,1571601092,65,15.13,-23.22,28.0,8.7
377,Shergarh,0,IN,1571601092,40,31.5,75.93,20.5,0.89
378,Inongo,99,CD,1571601093,86,-1.93,18.29,22.43,1.01
379,Palmer,0,AU,1571601093,87,-34.85,139.16,10.0,2.1
380,Bagotville,1,AU,1571601093,72,-28.98,153.42,18.0,3.6
381,Hasaki,75,JP,1571601094,88,35.73,140.83,17.22,3.1
382,Izhma,100,RU,1571601094,86,65.01,53.91,-0.61,4.01
383,Negara,56,ID,1571601095,83,-8.36,114.62,25.81,1.24
384,Chiredzi,0,ZW,1571601095,34,-21.05,31.67,25.03,2.11
385,San Cristobal,90,HN,1571601095,49,14.68,-86.92,28.21,3.35
386,Rudnogorsk,78,RU,1571601096,83,57.27,103.75,-5.31,0.59
387,Acapulco,75,MX,1571601096,74,16.86,-99.88,30.0,2.6
388,Along,100,IN,1571601097,94,28.17,94.8,11.02,1.34
389,Vangaindrano,100,MG,1571601097,88,-23.35,47.6,21.48,2.55
390,Merrill,90,US,1571601098,70,42.03,-121.6,8.33,2.6
391,Betare Oya,94,CM,1571601098,95,5.6,14.08,20.15,0.15
392,Kieta,97,PG,1571601098,75,-6.22,155.63,28.15,2.09
393,Cabanas,86,BR,1571601099,86,-8.41,-36.34,22.24,5.17
394,Luebo,92,CD,1571601099,87,-5.35,21.42,20.07,0.2
395,Melville,1,CA,1571601100,46,50.93,-102.81,10.0,7.2
396,Necochea,100,AR,1571601100,54,-38.55,-58.74,18.33,4.02
397,Saskylakh,99,RU,1571601100,85,71.97,114.09,-15.72,5.04
398,Katiola,40,CI,1571601101,100,8.14,-5.1,24.0,3.1
399,Marystown,89,CA,1571601101,2,47.17,-55.16,9.44,4.92
400,Plettenberg Bay,84,ZA,1571601101,91,-34.05,23.37,13.64,2.0
401,Port Hawkesbury,75,CA,1571601102,66,45.62,-61.36,11.11,6.7
402,Newport,90,GB,1571601103,93,51.59,-3.0,10.56,5.7
403,Kefamenanu,0,ID,1571601103,62,-9.45,124.48,19.88,1.69
404,Hobbs,1,US,1571601103,17,32.7,-103.14,29.0,9.3
405,Randfontein,59,ZA,1571601104,23,-26.17,27.69,23.0,2.6
406,Faanui,88,PF,1571601104,76,-16.48,-151.75,27.05,5.28
407,Cockburn Town,40,TC,1571601105,66,21.46,-71.14,31.0,3.6
408,Comodoro Rivadavia,75,AR,1571601105,18,-45.87,-67.48,27.0,9.8
409,Bhainsa,0,IN,1571601105,40,26.95,76.9,23.26,0.59
410,Dharchula,0,IN,1571601106,64,29.85,80.53,3.8,2.13
411,Xifeng,0,CN,1571601107,50,42.73,124.72,5.03,0.81
412,Okhotsk,93,RU,1571601107,74,59.36,143.24,-3.03,3.74
413,Akureyri,90,IS,1571601107,86,65.68,-18.09,3.0,6.7
414,Yeniseysk,0,RU,1571601108,74,58.45,92.17,-6.48,1.78
415,Vila,90,IT,1571601108,100,45.18,8.4,17.22,4.6
416,Sao Filipe,61,CV,1571601108,83,14.9,-24.5,25.76,9.53
417,The Valley,40,AI,1571601109,74,18.22,-63.06,30.56,3.6
418,Tuytepa,100,UZ,1571601109,54,41.03,69.36,13.0,2.1
419,Saint Anthony,75,US,1571601110,64,43.97,-111.68,5.56,5.7
420,Marsabit,0,KE,1571601111,49,2.34,37.99,28.95,3.83
421,Mastic Beach,90,US,1571601111,71,40.77,-72.85,15.56,4.34
422,Lavrentiya,100,RU,1571601111,96,65.58,-170.99,-4.91,1.98
423,Wanning,75,AT,1571601112,100,48.64,13.53,13.89,2.6
424,Marawi,3,PH,1571601112,89,8.0,124.29,25.0,2.24
425,Vitim,100,RU,1571601113,95,59.44,112.57,-4.48,2.67
426,Sungurlu,0,TR,1571601113,70,40.17,34.38,15.79,1.75
427,Kudahuvadhoo,100,MV,1571601113,72,2.67,72.89,28.0,4.7
428,Adrar,0,DZ,1571601114,21,27.87,-0.29,29.0,2.6
429,Fethiye,0,TR,1571601114,88,36.62,29.12,19.0,4.1
430,Kapuskasing,90,CA,1571601114,93,49.42,-82.43,10.0,2.1
431,Katherine,9,AU,1571601115,39,-14.47,132.26,19.0,2.6
432,Estelle,100,FR,1571601115,83,43.97,3.47,21.0,10.8
433,Camacha,20,PT,1571601116,63,33.08,-16.33,20.0,5.1
434,Waingapu,33,ID,1571601116,92,-9.65,120.26,21.55,2.69
435,Nara,20,JP,1571601117,82,34.68,135.8,18.0,3.1
436,La Suiza,40,CR,1571601117,69,9.85,-83.61,30.0,3.1
437,Nacimiento,75,CL,1571601117,51,-37.5,-72.67,17.0,6.2
438,Puri,70,ID,1571601118,89,-7.54,112.45,21.93,2.44
439,Moranbah,8,AU,1571601118,78,-22.0,148.04,20.4,7.94
440,Ubatuba,75,BR,1571600983,60,-23.43,-45.08,23.0,3.6
441,Bom Jesus da Lapa,0,BR,1571601119,15,-13.25,-43.41,39.0,3.6
442,Victoria,75,BN,1571601119,74,5.28,115.24,28.0,1.5
443,Amboasary,0,MG,1571601120,83,-25.04,46.38,23.0,6.2
444,Puli,40,TW,1571601121,82,23.97,120.97,22.22,4.6
445,Bouguenais,21,FR,1571601121,87,47.18,-1.62,11.67,2.1
446,Emerald,0,AU,1571601122,20,-23.53,148.16,19.0,5.1
447,Pangoa,100,PE,1571601122,53,-12.12,-73.0,29.65,1.53
448,Lumphat,66,KH,1571601122,91,13.5,106.97,21.76,2.09
449,Hobyo,33,SO,1571601123,78,5.35,48.53,26.72,3.64
450,Broken Hill,0,AU,1571601124,46,-31.97,141.45,10.0,2.1
451,Cidreira,100,BR,1571601124,70,-30.17,-50.22,16.8,3.68
452,Barcelona,20,ES,1571601124,60,41.38,2.18,21.11,7.7
453,Banda Aceh,99,ID,1571601125,78,5.56,95.32,27.44,3.01
454,Dombarovskiy,0,RU,1571601125,59,50.76,59.54,-2.47,3.33
455,Maiduguri,36,NG,1571601126,41,11.84,13.15,30.89,1.17
456,Kulhudhuffushi,100,MV,1571601126,70,6.62,73.07,27.51,2.92
457,Save,100,BJ,1571601126,95,8.04,2.49,22.41,1.93
458,Vila Velha,40,BR,1571601127,69,-3.71,-38.6,28.0,6.2
459,Sao Raimundo das Mangabeiras,98,BR,1571601127,50,-7.02,-45.48,30.41,1.34
460,Coihaique,90,CL,1571601128,58,-45.58,-72.07,13.0,3.1
461,Carahue,75,CL,1571601128,59,-38.71,-73.16,16.0,5.7
462,Basco,1,US,1571601128,45,40.33,-91.2,20.56,6.2
463,Canutama,57,BR,1571601129,69,-6.53,-64.38,28.07,3.49
464,Gizo,20,IL,1571601129,69,31.8,34.94,24.0,2.1
465,Ca Mau,81,VN,1571601129,93,9.18,105.15,25.19,2.54
466,Birao,97,CF,1571601130,75,10.3,22.78,24.49,1.92
467,Hinton,100,CA,1571601130,45,53.4,-117.57,2.78,1.8
468,Atar,0,MR,1571601130,20,20.52,-13.05,30.65,4.18
469,Eydhafushi,100,MV,1571601131,75,5.1,73.07,27.25,0.15
470,Wilmington Island,40,US,1571601131,64,32.0,-80.97,24.0,5.7
471,Bud,75,NO,1571601132,75,62.91,6.91,7.0,1.0
472,Abu Samrah,0,SY,1571601132,63,35.3,37.18,19.95,2.16
473,Santa Rosa,100,AR,1571601132,56,-36.62,-64.29,17.04,5.76
474,Byron Bay,40,AU,1571601133,67,-28.65,153.62,18.0,3.1
475,Merauke,9,ID,1571601133,85,-8.49,140.4,23.8,7.98
476,San Quintin,49,PH,1571601133,89,17.54,120.52,21.93,2.15
477,Sinop,51,TR,1571601134,87,42.03,35.15,16.86,0.58
478,Takoradi,63,GH,1571601135,92,4.89,-1.75,23.99,1.75
479,Yatou,40,CM,1571601135,100,3.63,9.81,24.0,0.5
480,Mezen,0,RU,1571601135,91,65.85,44.24,-2.04,3.19
481,Geraldton,75,CA,1571601136,66,49.72,-86.95,11.0,1.5
482,Bhabua,100,IN,1571601136,78,25.04,83.61,23.38,1.83
483,Mansfield,75,GB,1571601137,93,53.14,-1.2,11.11,4.1
484,Magaria,31,NE,1571601137,43,13.0,8.91,29.97,3.83
485,Charyshskoye,91,RU,1571601137,96,51.4,83.56,-14.65,1.26
486,San Miguel de Cauri,20,PE,1571601138,39,-10.1,-76.58,27.0,9.3
487,Isangel,40,VU,1571601138,94,-19.55,169.27,22.0,6.31
488,Tshikapa,100,CD,1571601138,93,-6.42,20.79,21.02,0.69
489,Valdemarpils,90,LV,1571601139,100,57.37,22.59,13.0,3.1
490,Ponta Delgada,20,PT,1571601139,63,37.73,-25.67,18.0,3.1
491,Durango,90,MX,1571601140,45,24.02,-104.67,22.22,1.5
492,Abashiri,0,JP,1571601141,90,44.01,144.25,5.0,1.95
493,Batagay-Alyta,74,RU,1571601141,72,67.8,130.41,-13.11,1.86
494,Ballina,75,IE,1571601141,75,54.11,-9.15,10.0,5.7
495,Belaya Gora,72,RU,1571601142,97,68.54,146.19,-13.79,1.5
496,Inyonga,65,TZ,1571601142,73,-6.72,32.06,21.66,1.36
497,Imeni Poliny Osipenko,100,RU,1571601142,95,52.42,136.49,3.27,0.85
498,Auki,5,NG,1571601143,77,12.18,6.51,24.93,0.15
499,Nizhniy Tsasuchey,0,RU,1571601143,63,50.52,115.13,-2.41,7.08
500,Lagoa Formosa,79,BR,1571601144,60,-18.77,-46.41,24.44,2.24
501,Francistown,0,BW,1571601144,21,-21.17,27.5,27.0,2.1
502,Chumikan,64,RU,1571601144,95,54.72,135.31,-1.15,0.85
503,Tabuk,62,PH,1571601145,96,17.41,121.44,16.32,1.98
504,Progreso,90,UY,1571601145,76,-34.68,-56.22,15.0,6.2
505,Cody,90,US,1571601146,8,44.53,-109.06,8.89,10.8
506,Kambove,4,CD,1571601146,76,-10.88,26.6,18.59,1.41
507,Lagdo,40,CM,1571601146,83,9.06,13.67,28.0,1.5
508,Lima,90,PE,1571601147,72,-12.06,-77.04,20.0,3.6
509,Heide,100,DE,1571601147,93,54.19,9.09,11.67,2.6
510,Gambiran,91,ID,1571601147,95,-7.93,111.77,20.81,2.09
511,Manoel Urbano,50,BR,1571601148,42,-8.84,-69.26,32.81,0.8
512,Acireale,40,IT,1571601148,83,37.61,15.17,23.0,2.1
513,Taft,5,PH,1571601149,96,11.9,125.42,21.88,1.11
514,Zemio,100,CF,1571601149,94,5.02,25.13,21.13,1.78
515,Aguadilla,75,PR,1571601149,83,18.43,-67.15,28.89,3.1
516,Oktyabrskoye,0,RU,1571601150,78,56.73,85.44,-7.22,2.0
517,Leh,100,IN,1571601150,36,34.16,77.58,-5.16,0.37
518,Polovinnoye,0,RU,1571601151,70,54.79,65.99,-4.42,4.72
519,Sao Joao da Barra,75,BR,1571601151,64,-21.64,-41.05,24.0,9.3
520,Makakilo City,75,US,1571601151,78,21.35,-158.09,29.0,1.5
521,Springbok,0,ZA,1571601152,88,-29.67,17.88,13.92,2.34
522,Tual,24,ID,1571601152,83,-5.67,132.75,26.0,5.9
523,Birjand,0,IR,1571601153,19,32.86,59.22,13.0,2.1
524,Carlibaba,23,RO,1571601153,77,47.58,25.13,13.89,0.72
525,Upanema,20,BR,1571601153,59,-5.64,-37.26,32.0,10.3
526,Yining,0,CN,1571601154,68,29.04,114.56,13.36,0.18
527,Kota Kinabalu,75,MY,1571601154,88,5.98,116.07,25.0,2.1
528,Kualakapuas,68,ID,1571601154,93,-3.01,114.39,23.79,0.77
529,Muzaffarpur,75,IN,1571601155,100,26.12,85.39,25.0,2.1
530,Montreal,75,CA,1571600954,62,45.5,-73.61,12.78,3.1
531,Krapivinskiy,90,RU,1571601156,79,55.0,86.81,-6.0,4.0
532,Muzhi,100,RU,1571601156,89,65.4,64.7,-1.58,0.64
533,Aguimes,75,ES,1571601156,73,27.91,-15.45,22.0,6.7
534,Plouzane,0,FR,1571601157,81,48.38,-4.62,12.22,2.6
